"","Gene","Species"
"1","carIns","102110at32523"
"2","cheAbi","102110at32523"
"3","cheMyd","102110at32523"
"4","chrPic","102110at32523"
"5","derMaw","102110at32523"
"6","emySub","102110at32523"
"7","gopAga","102110at32523"
"8","malTer","102110at32523"
"9","pelCas","102110at32523"
"10","pelSin","102110at32523"
"11","plaMeg","102110at32523"
"12","terMex","102110at32523"
"13","carIns","105916at32523"
"14","cheAbi","105916at32523"
"15","cheMyd","105916at32523"
"16","cheSer","105916at32523"
"17","chrPic","105916at32523"
"18","derCor","105916at32523"
"19","gopAga","105916at32523"
"20","malTer","105916at32523"
"21","mesTub","105916at32523"
"22","pelCas","105916at32523"
"23","pelSin","105916at32523"
"24","podExp","105916at32523"
"25","derMaw","107213at32523"
"26","emySub","107213at32523"
"27","mesTub","107213at32523"
"28","cheMyd","109646at32523"
"29","emySub","109646at32523"
"30","mesTub","109646at32523"
"31","cheAbi","118839at32523"
"32","cuoMcc","118839at32523"
"33","derCor","118839at32523"
"34","emySub","118839at32523"
"35","gopAga","118839at32523"
"36","malTer","118839at32523"
"37","mesTub","118839at32523"
"38","pelCas","118839at32523"
"39","podExp","118839at32523"
"40","terMex","118839at32523"
"41","emySub","119144at32523"
"42","mesTub","119144at32523"
"43","carIns","121184at32523"
"44","cheMyd","121184at32523"
"45","derCor","121184at32523"
"46","derMaw","121184at32523"
"47","pelCas","121184at32523"
"48","pelSin","121184at32523"
"49","plaMeg","121184at32523"
"50","carIns","137324at32523"
"51","cheAbi","137324at32523"
"52","cheSer","137324at32523"
"53","chrPic","137324at32523"
"54","cuoAmb","137324at32523"
"55","cuoMcc","137324at32523"
"56","derCor","137324at32523"
"57","derMaw","137324at32523"
"58","emySub","137324at32523"
"59","gopAga","137324at32523"
"60","malTer","137324at32523"
"61","mesTub","137324at32523"
"62","pelCas","137324at32523"
"63","pelSin","137324at32523"
"64","plaMeg","137324at32523"
"65","podExp","137324at32523"
"66","terMex","137324at32523"
"67","cuoAmb","144781at32523"
"68","cheAbi","146603at32523"
"69","gopAga","146603at32523"
"70","carIns","155190at32523"
"71","cheAbi","155190at32523"
"72","cheMyd","155190at32523"
"73","cheSer","155190at32523"
"74","chrPic","155190at32523"
"75","cuoAmb","155190at32523"
"76","cuoMcc","155190at32523"
"77","derMaw","155190at32523"
"78","emySub","155190at32523"
"79","gopAga","155190at32523"
"80","malTer","155190at32523"
"81","mesTub","155190at32523"
"82","pelCas","155190at32523"
"83","plaMeg","155190at32523"
"84","podExp","155190at32523"
"85","terMex","155190at32523"
"86","carIns","158268at32523"
"87","cheAbi","158268at32523"
"88","cheMyd","158268at32523"
"89","cheSer","158268at32523"
"90","chrPic","158268at32523"
"91","cuoAmb","158268at32523"
"92","cuoMcc","158268at32523"
"93","derCor","158268at32523"
"94","derMaw","158268at32523"
"95","emySub","158268at32523"
"96","gopAga","158268at32523"
"97","malTer","158268at32523"
"98","mesTub","158268at32523"
"99","pelSin","158268at32523"
"100","plaMeg","158268at32523"
"101","podExp","158268at32523"
"102","terMex","158268at32523"
"103","cheMyd","172434at32523"
"104","cheSer","172434at32523"
"105","cuoAmb","172434at32523"
"106","derCor","172434at32523"
"107","derMaw","172434at32523"
"108","malTer","172434at32523"
"109","pelSin","178320at32523"
"110","carIns","179871at32523"
"111","cheMyd","179871at32523"
"112","cuoAmb","179871at32523"
"113","cuoMcc","179871at32523"
"114","gopAga","179871at32523"
"115","pelCas","179871at32523"
"116","pelSin","179871at32523"
"117","plaMeg","179871at32523"
"118","podExp","179871at32523"
"119","terMex","179871at32523"
"120","pelSin","180491at32523"
"121","cheMyd","18091at32523"
"122","cheSer","18091at32523"
"123","gopAga","18091at32523"
"124","pelCas","18091at32523"
"125","cheSer","181904at32523"
"126","pelSin","181904at32523"
"127","cheAbi","182549at32523"
"128","cheSer","182549at32523"
"129","cuoAmb","182549at32523"
"130","cuoMcc","182549at32523"
"131","derMaw","182549at32523"
"132","gopAga","182549at32523"
"133","mesTub","182549at32523"
"134","podExp","182549at32523"
"135","terMex","182549at32523"
"136","carIns","185680at32523"
"137","cheAbi","185680at32523"
"138","cheMyd","185680at32523"
"139","cheSer","185680at32523"
"140","chrPic","185680at32523"
"141","cuoAmb","185680at32523"
"142","cuoMcc","185680at32523"
"143","derMaw","185680at32523"
"144","emySub","185680at32523"
"145","gopAga","185680at32523"
"146","malTer","185680at32523"
"147","mesTub","185680at32523"
"148","pelCas","185680at32523"
"149","pelSin","185680at32523"
"150","plaMeg","185680at32523"
"151","podExp","185680at32523"
"152","terMex","185680at32523"
"153","cheAbi","188390at32523"
"154","chrPic","188390at32523"
"155","cuoAmb","188390at32523"
"156","gopAga","188390at32523"
"157","malTer","188390at32523"
"158","plaMeg","188390at32523"
"159","cuoAmb","189115at32523"
"160","malTer","189115at32523"
"161","carIns","189244at32523"
"162","cheAbi","189244at32523"
"163","cheSer","189244at32523"
"164","chrPic","189244at32523"
"165","cuoAmb","189244at32523"
"166","cuoMcc","189244at32523"
"167","derCor","189244at32523"
"168","derMaw","189244at32523"
"169","emySub","189244at32523"
"170","gopAga","189244at32523"
"171","malTer","189244at32523"
"172","mesTub","189244at32523"
"173","pelCas","189244at32523"
"174","pelSin","189244at32523"
"175","plaMeg","189244at32523"
"176","podExp","189244at32523"
"177","terMex","189244at32523"
"178","derCor","191457at32523"
"179","emySub","193873at32523"
"180","mesTub","193873at32523"
"181","pelSin","193873at32523"
"182","podExp","193873at32523"
"183","cheAbi","199537at32523"
"184","derCor","199537at32523"
"185","emySub","199537at32523"
"186","pelSin","199537at32523"
"187","plaMeg","199537at32523"
"188","podExp","199537at32523"
"189","cheMyd","202849at32523"
"190","cheSer","202849at32523"
"191","cuoAmb","202849at32523"
"192","cuoMcc","202849at32523"
"193","pelSin","202849at32523"
"194","carIns","203233at32523"
"195","cheAbi","203233at32523"
"196","cheMyd","203233at32523"
"197","cheSer","203233at32523"
"198","chrPic","203233at32523"
"199","cuoMcc","203233at32523"
"200","derCor","203233at32523"
"201","derMaw","203233at32523"
"202","emySub","203233at32523"
"203","gopAga","203233at32523"
"204","pelCas","203233at32523"
"205","pelSin","203233at32523"
"206","plaMeg","203233at32523"
"207","podExp","203233at32523"
"208","carIns","216370at32523"
"209","cheAbi","216370at32523"
"210","cheMyd","216370at32523"
"211","cheSer","216370at32523"
"212","chrPic","216370at32523"
"213","cuoAmb","216370at32523"
"214","cuoMcc","216370at32523"
"215","derCor","216370at32523"
"216","derMaw","216370at32523"
"217","emySub","216370at32523"
"218","gopAga","216370at32523"
"219","malTer","216370at32523"
"220","mesTub","216370at32523"
"221","pelCas","216370at32523"
"222","pelSin","216370at32523"
"223","plaMeg","216370at32523"
"224","podExp","216370at32523"
"225","terMex","216370at32523"
"226","cuoAmb","217270at32523"
"227","cuoMcc","217270at32523"
"228","gopAga","217270at32523"
"229","cheMyd","229324at32523"
"230","cuoAmb","229324at32523"
"231","derCor","229324at32523"
"232","malTer","229324at32523"
"233","podExp","229324at32523"
"234","carIns","230017at32523"
"235","cheMyd","230017at32523"
"236","cheSer","230017at32523"
"237","chrPic","230017at32523"
"238","cuoMcc","230017at32523"
"239","derMaw","230017at32523"
"240","emySub","230017at32523"
"241","gopAga","230017at32523"
"242","malTer","230017at32523"
"243","mesTub","230017at32523"
"244","pelCas","230017at32523"
"245","pelSin","230017at32523"
"246","plaMeg","230017at32523"
"247","podExp","230017at32523"
"248","terMex","230017at32523"
"249","carIns","235309at32523"
"250","cheAbi","235309at32523"
"251","cheSer","235309at32523"
"252","derMaw","235309at32523"
"253","emySub","235309at32523"
"254","mesTub","235309at32523"
"255","pelCas","235309at32523"
"256","plaMeg","235309at32523"
"257","podExp","235309at32523"
"258","carIns","238128at32523"
"259","cheAbi","238128at32523"
"260","cheMyd","238128at32523"
"261","cheSer","238128at32523"
"262","chrPic","238128at32523"
"263","cuoAmb","238128at32523"
"264","cuoMcc","238128at32523"
"265","derCor","238128at32523"
"266","derMaw","238128at32523"
"267","emySub","238128at32523"
"268","gopAga","238128at32523"
"269","malTer","238128at32523"
"270","mesTub","238128at32523"
"271","pelCas","238128at32523"
"272","pelSin","238128at32523"
"273","plaMeg","238128at32523"
"274","podExp","238128at32523"
"275","terMex","238128at32523"
"276","carIns","239568at32523"
"277","mesTub","239568at32523"
"278","pelSin","239568at32523"
"279","plaMeg","239568at32523"
"280","terMex","239568at32523"
"281","carIns","242048at32523"
"282","cheMyd","242048at32523"
"283","cheSer","242048at32523"
"284","cuoAmb","242048at32523"
"285","derMaw","242048at32523"
"286","gopAga","242048at32523"
"287","mesTub","242048at32523"
"288","pelCas","242048at32523"
"289","pelSin","242048at32523"
"290","terMex","242048at32523"
"291","cheSer","244174at32523"
"292","chrPic","244174at32523"
"293","cuoMcc","244174at32523"
"294","emySub","244174at32523"
"295","gopAga","244174at32523"
